time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
2.219,-0.323326,0.021436,1.740683,-0.379759,0.276562,2.000000,-1.557345,-31.967183,-5.493179
2.229,-0.327156,0.024288,1.760683,-0.383009,0.285220,2.000000,-1.553303,-31.967799,-5.465397
2.239,-0.331019,0.027227,1.780683,-0.386292,0.293873,2.000000,-1.549188,-31.968418,-5.434662
2.249,-0.334915,0.030252,1.800683,-0.389607,0.302517,2.000000,-1.545000,-31.969039,-5.400959
2.259,-0.338844,0.033364,1.820683,-0.392955,0.311148,2.000000,-1.540740,-31.969663,-5.364275
2.269,-0.342808,0.036561,1.840683,-0.396335,0.319760,2.000000,-1.536407,-31.970290,-5.324596
2.279,-0.346805,0.039845,1.860683,-0.399749,0.328349,2.000000,-1.532002,-31.970919,-5.281915
2.289,-0.350837,0.043214,1.880683,-0.403197,0.336910,2.000000,-1.527526,-31.971551,-5.236222
2.299,-0.354904,0.046668,1.900683,-0.406678,0.345438,2.000000,-1.522979,-31.972185,-5.187513
2.309,-0.359006,0.050207,1.920683,-0.410193,0.353929,2.000000,-1.518361,-31.972821,-5.135785
2.319,-0.363143,0.053831,1.940683,-0.413742,0.362376,2.000000,-1.513673,-31.973460,-5.081037
2.329,-0.367317,0.057539,1.960683,-0.417325,0.370775,2.000000,-1.508915,-31.974100,-5.023271
2.339,-0.371526,0.061330,1.980683,-0.420941,0.379121,2.000000,-1.504088,-31.974743,-4.962492
2.349,-0.375772,0.065204,2.000683,-0.424592,0.387408,2.000000,-1.499191,-31.975389,-4.898707
2.359,-0.380055,0.069161,2.020683,-0.428275,0.395631,2.000000,-1.494226,-31.976036,-4.831927
2.369,-0.384375,0.073198,2.040683,-0.431993,0.403784,2.000000,-1.489193,-31.976685,-4.762163
2.379,-0.388732,0.077317,2.060683,-0.435743,0.411862,2.000000,-1.484092,-31.977336,-4.689432
2.389,-0.393127,0.081516,2.080683,-0.439526,0.419859,2.000000,-1.478924,-31.977988,-4.613752
2.399,-0.397561,0.085793,2.100683,-0.443341,0.427770,2.000000,-1.473688,-31.978643,-4.535145
2.409,-0.402033,0.090149,2.120683,-0.447188,0.435588,2.000000,-1.468386,-31.979299,-4.453635
2.419,-0.406543,0.094582,2.140683,-0.451067,0.443308,2.000000,-1.463018,-31.979957,-4.369251
2.429,-0.411093,0.099092,2.160683,-0.454976,0.450924,2.000000,-1.457584,-31.980617,-4.282024
2.439,-0.415682,0.103676,2.180683,-0.458915,0.458430,2.000000,-1.452085,-31.981278,-4.191987
2.450,-0.420311,0.108334,2.200683,-0.462882,0.465821,2.000000,-1.446521,-31.981940,-4.099179
2.459,-0.424980,0.113065,2.220683,-0.466879,0.473089,2.000000,-1.440892,-31.982604,-4.003639
2.469,-0.429689,0.117867,2.240683,-0.470902,0.480230,2.000000,-1.435199,-31.983269,-3.905412
2.479,-0.434438,0.122740,2.260683,-0.474951,0.487237,2.000000,-1.429442,-31.983936,-3.804546
2.489,-0.439229,0.127681,2.280683,-0.479026,0.494103,2.000000,-1.423622,-31.984604,-3.701090
2.500,-0.444060,0.132689,2.300683,-0.483124,0.500824,2.000000,-1.417739,-31.985272,-3.595100
2.509,-0.448932,0.137763,2.320683,-0.487245,0.507391,2.000000,-1.411793,-31.985942,-3.486632
